vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
546721,0.0975,0.8672,0.0155,0.0198,faecal-oral
546722,0.0995,0.8702,0.0153,0.0150,faecal-oral
546723,0.0975,0.8672,0.0155,0.0198,faecal-oral
546725,0.0975,0.8672,0.0155,0.0198,faecal-oral
546726,0.0975,0.8672,0.0155,0.0198,faecal-oral
546727,0.0975,0.8672,0.0155,0.0198,faecal-oral
546728,0.0975,0.8672,0.0155,0.0198,faecal-oral
546729,0.0975,0.8672,0.0155,0.0198,faecal-oral
56094,0.0975,0.8672,0.0155,0.0198,faecal-oral
57667,0.0803,0.8890,0.0152,0.0155,faecal-oral
586421,0.0975,0.8672,0.0155,0.0198,faecal-oral
595895,0.0975,0.8672,0.0155,0.0198,faecal-oral
611726,0.0975,0.8672,0.0155,0.0198,faecal-oral
611728,0.0975,0.8672,0.0155,0.0198,faecal-oral
611730,0.0975,0.8672,0.0155,0.0198,faecal-oral
611734,0.0975,0.8672,0.0155,0.0198,faecal-oral
611737,0.0975,0.8672,0.0155,0.0198,faecal-oral
611738,0.0975,0.8672,0.0155,0.0198,faecal-oral
611739,0.0975,0.8672,0.0155,0.0198,faecal-oral
611740,0.0975,0.8672,0.0155,0.0198,faecal-oral
611741,0.0975,0.8672,0.0155,0.0198,faecal-oral
611757,0.0975,0.8672,0.0155,0.0198,faecal-oral
611758,0.0975,0.8672,0.0155,0.0198,faecal-oral
611759,0.0975,0.8672,0.0155,0.0198,faecal-oral
611761,0.0648,0.8974,0.0174,0.0204,faecal-oral
611762,0.0975,0.8672,0.0155,0.0198,faecal-oral
611763,0.0975,0.8672,0.0155,0.0198,faecal-oral
611764,0.0975,0.8672,0.0155,0.0198,faecal-oral
630716,0.0975,0.8672,0.0155,0.0198,faecal-oral
630718,0.0975,0.8672,0.0155,0.0198,faecal-oral
631345,0.0975,0.8672,0.0155,0.0198,faecal-oral
641884,0.1472,0.5640,0.1973,0.0916,faecal-oral
64318,0.0823,0.8803,0.0160,0.0214,faecal-oral
644610,0.0710,0.5069,0.1489,0.2732,faecal-oral
646294,0.0975,0.8672,0.0155,0.0198,faecal-oral
647367,0.0975,0.8672,0.0155,0.0198,faecal-oral
647369,0.0867,0.8760,0.0150,0.0224,faecal-oral
647372,0.1232,0.8344,0.0153,0.0272,faecal-oral
647374,0.0975,0.8672,0.0155,0.0198,faecal-oral
650036,0.2584,0.1133,0.4411,0.1872,respiratory
658667,0.0975,0.8672,0.0155,0.0198,faecal-oral
659265,0.0975,0.8672,0.0155,0.0198,faecal-oral
682383,0.0725,0.8934,0.0152,0.0189,faecal-oral
682384,0.0975,0.8672,0.0155,0.0198,faecal-oral
688450,0.0975,0.8672,0.0155,0.0198,faecal-oral
688451,0.0975,0.8672,0.0155,0.0198,faecal-oral
688452,0.0975,0.8672,0.0155,0.0198,faecal-oral
688453,0.0975,0.8672,0.0155,0.0198,faecal-oral
688454,0.0975,0.8672,0.0155,0.0198,faecal-oral
688456,0.0975,0.8672,0.0155,0.0198,faecal-oral
688457,0.0975,0.8672,0.0155,0.0198,faecal-oral
688459,0.0975,0.8672,0.0155,0.0198,faecal-oral
688461,0.0975,0.8672,0.0155,0.0198,faecal-oral
688462,0.0975,0.8672,0.0155,0.0198,faecal-oral
688463,0.0975,0.8672,0.0155,0.0198,faecal-oral
688464,0.0975,0.8672,0.0155,0.0198,faecal-oral
688466,0.0975,0.8672,0.0155,0.0198,faecal-oral
694015,0.0655,0.8995,0.0145,0.0206,faecal-oral
723802,0.1805,0.7801,0.0190,0.0204,faecal-oral
741955,0.0975,0.8672,0.0155,0.0198,faecal-oral
741956,0.0975,0.8672,0.0155,0.0198,faecal-oral
741957,0.0975,0.8672,0.0155,0.0198,faecal-oral
741958,0.0975,0.8672,0.0155,0.0198,faecal-oral
741959,0.0975,0.8672,0.0155,0.0198,faecal-oral
741960,0.0975,0.8672,0.0155,0.0198,faecal-oral
764239,0.0975,0.8672,0.0155,0.0198,faecal-oral
764243,0.0975,0.8672,0.0155,0.0198,faecal-oral
764252,0.0897,0.8836,0.0089,0.0178,faecal-oral
764266,0.1014,0.8604,0.0200,0.0182,faecal-oral
764267,0.1014,0.8604,0.0200,0.0182,faecal-oral
764268,0.0975,0.8672,0.0155,0.0198,faecal-oral
858567,0.0975,0.8672,0.0155,0.0198,faecal-oral
858568,0.0975,0.8672,0.0155,0.0198,faecal-oral
