feature,class,shap_importance
Q14161,faecal-oral,0.0032096918389503347
Q86U86,vector,0.003209084586433064
O43615,vector,0.0032058624374886823
O95271,vector,0.0032043939012137636
Q92925,vector,0.0032029807273258
P40939,direct contact,0.0032018275950089735
Q9BXB1,direct contact,0.00320057243651661
O14964,vector,0.0031999445723654586
O60563,vector,0.003195270529548202
Q92574,vector,0.003191605235098148
Q9UNN5,vector,0.003190456175397652
P11274,vector,0.003190160590425063
P14635,respiratory,0.0031868911947834024
Q15020,vector,0.0031852084731533183
Q13315,respiratory,0.003184633813754318
Q9Y2V7,direct contact,0.00317872526105696
P01889,vector,0.0031707441975090764
P35658,vector,0.0031703989730691015
O75688,faecal-oral,0.003165242837595726
Q9UKM9,vector,0.0031651519741948656
P40939,respiratory,0.0031633792442395106
Q15311,vector,0.00316311919603559
Q86X55,direct contact,0.0031621953642750186
Q9NYJ8,direct contact,0.0031598679559101048
P51674,direct contact,0.0031566224705517226
P52789,vector,0.0031558356043828143
P61106,vector,0.0031534949211711235
P11441,vector,0.003151762429504483
P12755,vector,0.0031454528455165847
Q92499,respiratory,0.003138313158607663
Q16513,vector,0.003138200091051748
Q6P5R6,vector,0.0031370920993284744
Q9NZT1,direct contact,0.0031360520791586743
Q16513,direct contact,0.0031318195473976165
Q6PD62,vector,0.0031311097077889823
P61073,vector,0.0031254841732018344
Q14008,direct contact,0.0031244800589305664
Q504Q3,faecal-oral,0.0031212814609531264
Q05519,vector,0.0031196834560590506
P37235,direct contact,0.0031162121360288637
P55854,vector,0.0031142754295176607
P10912,faecal-oral,0.0031135632771318268
Q9C005,faecal-oral,0.00310982418600357
Q49AN0,direct contact,0.003107767668183776
Q9HCN8,respiratory,0.00310550708899888
Q15311,respiratory,0.003103932003365151
Q7KZI7,vector,0.0031031437858109784
P10912,vector,0.003101672740994228
O43889,direct contact,0.0031001306590836926
Q15291,vector,0.003099781970870667
Q13164,faecal-oral,0.0030996485692743833
A5D8V6,respiratory,0.0030996196334132165
Q9NZC7,vector,0.0030992485006527066
Q14112,vector,0.0030978803346892194
Q92614,vector,0.0030954472800284274
P46939,vector,0.0030944655937290167
Q9Y5L0,respiratory,0.0030926184060628106
Q6ZW49,vector,0.0030924591377955502
O43765,faecal-oral,0.003092044777522789
O00459,respiratory,0.003089106968968279
P15498,respiratory,0.0030859673281376687
Q9HBL7,vector,0.003085299009130405
O96013,direct contact,0.003081170235218616
Q7KZI7,direct contact,0.0030780909647386903
Q15596,direct contact,0.0030758213476359147
Q86XL3,direct contact,0.0030737732989224173
P59190,respiratory,0.003073511323973469
P27449,vector,0.0030719568031496837
Q15428,faecal-oral,0.0030706591939180586
P46778,vector,0.0030646142604724993
P00533,direct contact,0.003062629487197103
Q8WXF1,faecal-oral,0.003060965639198181
P27708,direct contact,0.0030601888880327855
O95071,vector,0.0030584090909783266
Q13561,vector,0.003054331371388029
P15498,vector,0.0030439596012625915
Q9UJX2,direct contact,0.0030386442773069323
O75581,vector,0.0030378462721479776
Q07065,respiratory,0.003037157529556651
Q5SW79,vector,0.0030276676780729163
Q92673,vector,0.0030263364880966192
O00499,vector,0.00302625405735611
Q6ZW49,direct contact,0.003023706843698486
Q05519,direct contact,0.0030235408869392754
O75340,respiratory,0.0030233958403712616
Q15907,faecal-oral,0.003018723749631317
P16989,faecal-oral,0.0030153246588881396
Q9Y5L0,vector,0.003014443139671528
O75182,direct contact,0.0030126274176466724
P46059,direct contact,0.003010804431623847
Q93088,vector,0.0030103386381738276
O95831,direct contact,0.0030042679661475796
Q53F19,faecal-oral,0.003003097897301762
O14745,vector,0.0030004577330145464
P35658,direct contact,0.0029979572152846598
Q01167,vector,0.002993878617849517
Q99442,vector,0.002993815163467501
Q9UI47,faecal-oral,0.002992804476505116
Q6NZI2,vector,0.002992158775769235
Q9NUQ6,direct contact,0.002991515771515595
Q9BYN8,vector,0.002989959944684652
Q96JK2,vector,0.002984795876885237
Q8N2W9,vector,0.0029828049703285796
P54727,vector,0.002982039373441462
P08069,respiratory,0.0029768446785062527
P02766,respiratory,0.002972308715037476
P46060,vector,0.0029692359626087073
P09012,vector,0.002964577766958302
P78382,vector,0.002958759160822827
P41208,respiratory,0.0029583571921202307
O60563,direct contact,0.0029581986039997512
P55735,vector,0.0029575492457227922
Q96FW1,vector,0.0029569245546195136
O75521,faecal-oral,0.0029562115531039167
O15357,vector,0.0029547900365543022
Q96KR1,direct contact,0.002950637405823063
Q86WK6,vector,0.0029495993428934964
Q9UHD2,vector,0.002948344876914454
Q9NX70,vector,0.002946639710716982
